Customer Age,Gender,Education Level,Marital Status,Months on book,Credit Limit,Total Trans Amt,Total Trans Count,Minimum income,Max income
54,M,Unknown,Divorced,36,33791,1047,31,120000,120000
57,M,Graduate,Married,39,8466,1342,32,60000,80000
42,M,Unknown,Married,36,15088,1107,21,60000,80000
42,M,High School,Divorced,36,3263,1251,35,60000,80000
54,F,Uneducated,Married,36,1494,1305,24,0,40000
48,M,Graduate,Single,35,13551,1388,37,80000,120000
49,M,Graduate,Single,36,18886,1235,18,80000,120000
52,M,High School,Unknown,48,11976,2089,36,80000,120000
50,M,High School,Single,39,9964,1626,25,80000,120000
49,M,Doctorate,Married,36,24159,1111,24,60000,80000
53,F,High School,Married,44,5362,1553,38,0,40000
50,M,Graduate,Single,36,34516,1064,13,120000,120000
55,F,Doctorate,Married,36,3174,1243,29,0,40000
53,M,High School,Married,47,12262,1659,38,80000,120000
47,F,High School,Single,41,3788,1594,47,40000,60000
55,M,College,Single,42,34516,1268,42,120000,120000
47,M,Graduate,Single,36,2926,1304,24,60000,80000
58,M,Graduate,Single,52,32090,1368,30,120000,120000
53,M,Graduate,Married,41,11669,720,23,80000,120000
52,M,High School,Single,45,13532,1521,29,40000,60000
50,F,Uneducated,Unknown,36,11888,1137,30,0,40000
42,F,Graduate,Married,36,2393,978,16,0,40000
43,M,Unknown,Married,39,6111,1221,16,40000,60000
57,M,Graduate,Married,46,19270,1565,28,80000,120000
52,M,Graduate,Married,43,3710,1578,34,80000,120000
47,M,Doctorate,Single,37,3235,1493,32,0,40000
44,F,Graduate,Single,38,11749,1178,27,40000,60000
53,M,High School,Divorced,36,7753,991,26,60000,80000
45,M,College,Divorced,40,10408,2560,42,60000,80000
63,F,College,Married,36,3967,1657,29,0,0
39,F,Post-Graduate,Single,27,6205,1204,19,0,40000
48,F,High School,Married,38,8025,673,18,0,40000
51,M,Unknown,Single,42,9036,1131,18,120000,120000
54,M,Graduate,Married,34,14926,1576,25,80000,120000
59,F,Graduate,Single,36,6335,1217,20,0,40000
59,M,College,Single,53,14979,530,10,60000,80000
48,F,Uneducated,Married,38,2732,739,16,0,40000
41,F,Graduate,Single,32,2250,1617,31,0,40000
55,M,Graduate,Married,50,10916,1592,34,120000,120000
47,F,Graduate,Married,36,5349,1343,30,0,0
41,M,High School,Married,24,9366,1303,39,80000,120000
40,M,High School,Single,28,21617,1351,22,80000,120000
68,M,Graduate,Married,56,13860,1910,32,0,0
50,F,Graduate,Single,31,18386,1298,22,40000,60000
47,M,Uneducated,Single,41,2405,1087,29,60000,80000
53,F,College,Married,47,2154,1439,26,0,40000
42,F,Unknown,Married,36,2038,1238,28,40000,60000
48,F,High School,Single,38,8135,1716,29,40000,60000
49,M,Doctorate,Married,38,9364,1099,27,120000,120000
44,F,Uneducated,Married,35,32643,1058,24,0,0
43,F,Graduate,Divorced,34,3195,1285,29,0,40000
56,M,High School,Married,43,2852,1651,28,80000,120000
59,F,College,Single,36,4224,1152,31,0,0
46,M,Uneducated,Married,36,20459,1767,38,60000,80000
47,F,Unknown,Divorced,41,3482,1039,24,0,40000
50,F,Uneducated,Married,40,3065,1130,28,40000,60000
51,F,Uneducated,Married,43,2185,1645,30,0,40000
47,F,Uneducated,Married,36,1611,1413,29,0,40000
58,F,Uneducated,Married,47,2822,1218,23,0,40000
46,M,Graduate,Single,33,32975,597,17,80000,120000
53,M,High School,Married,47,0,2184,53,60000,80000
45,F,Uneducated,Divorced,36,15875,1592,37,0,0
52,F,High School,Married,45,6703,1388,28,0,40000
53,M,Unknown,Married,36,3212,757,20,80000,120000
50,M,High School,Married,45,34516,1504,34,80000,120000
41,F,High School,Married,36,9797,1503,34,40000,60000
45,F,Graduate,Divorced,36,10400,1105,28,40000,60000
53,M,Uneducated,Married,42,26792,2398,47,80000,120000
67,F,Graduate,Married,56,3006,1661,32,0,40000
57,F,Uneducated,Single,36,19482,1421,22,40000,60000
59,F,Uneducated,Married,36,3356,999,28,40000,60000
45,M,Uneducated,Married,34,5771,1387,18,40000,60000
51,M,Graduate,Married,36,11106,1243,24,80000,120000
59,F,Uneducated,Married,54,2890,1860,36,0,40000
53,M,Graduate,Married,45,3380,1502,25,60000,80000
47,M,Graduate,Married,36,21331,1460,50,60000,80000
49,F,Uneducated,Single,38,12860,1348,27,0,0
49,M,Post-Graduate,Single,33,6278,1087,33,80000,120000
60,F,College,Single,55,0,1226,33,0,40000
50,F,High School,Married,36,9355,1230,28,0,40000
41,F,Post-Graduate,Married,31,20758,1555,32,0,0
57,M,Graduate,Married,47,14612,1827,24,80000,120000
43,M,Graduate,Unknown,27,27259,1376,35,80000,120000
57,F,Graduate,Married,47,6347,1771,37,0,40000
54,M,Doctorate,Married,41,21592,1873,52,120000,120000
51,F,Post-Graduate,Married,44,3449,1679,42,0,40000
47,F,High School,Married,34,6028,1002,22,0,40000
41,M,High School,Unknown,36,18214,1344,21,120000,120000
53,M,Uneducated,Married,43,16393,1461,42,80000,120000
68,M,High School,Married,52,0,760,21,0,40000
59,M,College,Married,36,7871,1428,22,60000,80000
48,M,Unknown,Married,36,5288,1777,42,80000,120000
44,M,Graduate,Married,32,11376,1302,27,60000,80000
48,M,College,Married,41,12302,1483,41,80000,120000
47,M,Graduate,Married,33,34516,1060,27,60000,80000
47,M,Graduate,Married,32,34516,1330,32,60000,80000
43,F,High School,Divorced,35,10514,1229,27,0,40000
55,F,Graduate,Married,43,0,886,27,0,40000
59,M,Post-Graduate,Married,46,0,844,24,60000,80000
63,M,Graduate,Married,56,2619,1450,37,40000,60000
58,M,College,Married,53,24407,2311,48,120000,120000
53,F,High School,Married,36,2377,1378,26,0,40000
59,M,Unknown,Unknown,40,34516,1033,26,80000,120000
52,M,Graduate,Married,47,11086,1523,40,120000,120000
48,M,High School,Single,36,11432,1374,37,60000,80000
43,M,High School,Married,36,13258,1080,21,40000,60000
48,M,College,Single,36,2571,1234,24,0,40000
43,F,Graduate,Single,31,5781,1600,32,0,40000
44,M,Unknown,Married,30,7872,1155,32,60000,80000
41,M,High School,Married,35,34516,1353,33,80000,120000
44,F,Uneducated,Divorced,38,11127,1546,25,0,40000
50,M,Unknown,Single,43,1857,1590,43,40000,60000
60,F,Uneducated,Married,36,1913,1448,22,0,40000
44,M,Graduate,Single,24,3839,1271,24,80000,120000
48,F,Graduate,Divorced,39,2115,1223,20,40000,60000
44,F,Graduate,Divorced,27,0,1117,29,0,40000
41,M,High School,Single,28,27756,994,24,80000,120000
45,M,College,Single,32,0,1468,26,60000,80000
47,F,Uneducated,Divorced,34,13878,1658,38,0,40000
51,F,Graduate,Married,36,3106,1368,38,0,40000
51,M,Graduate,Married,44,34516,1218,18,120000,120000
60,F,Uneducated,Married,50,0,702,12,40000,60000
57,M,Unknown,Married,46,18871,1516,21,80000,120000
41,M,Graduate,Single,29,5207,1310,26,120000,120000
44,M,Post-Graduate,Divorced,36,17965,1767,50,80000,120000
43,M,College,Single,37,2733,933,25,60000,80000
55,M,College,Married,48,8863,1512,27,60000,80000
52,M,Uneducated,Married,36,1857,829,17,80000,120000
44,M,Graduate,Unknown,33,34516,1120,27,80000,120000
41,M,Uneducated,Married,30,11107,1506,33,40000,60000
44,M,Unknown,Single,34,21573,1384,36,80000,120000
53,F,Unknown,Married,33,2859,817,30,0,40000
39,M,High School,Single,36,5269,2094,25,80000,120000
49,M,College,Married,45,0,815,21,40000,60000
45,F,College,Married,36,3387,510,24,0,40000
54,M,Graduate,Married,46,1982,1377,49,80000,120000
49,M,Uneducated,Single,43,4645,1193,33,80000,120000
46,F,Doctorate,Single,36,2189,1287,36,0,0
46,M,High School,Married,30,2442,701,19,120000,120000
47,M,Graduate,Married,38,21304,1770,25,60000,80000
44,M,Doctorate,Single,36,7577,1409,35,60000,80000
50,M,Post-Graduate,Single,31,3234,1354,28,120000,120000
73,M,High School,Married,36,4469,1765,34,40000,60000
56,M,Unknown,Unknown,46,2910,1192,27,40000,60000
59,M,High School,Single,48,3616,687,17,40000,60000
70,M,High School,Married,56,3252,1227,15,0,40000
55,F,High School,Married,36,2358,1737,26,0,40000
43,M,Unknown,Single,36,22322,1348,34,60000,80000
45,M,Uneducated,Single,39,3133,1435,38,120000,120000
45,F,Uneducated,Single,35,3540,1321,28,40000,60000
40,M,Graduate,Married,23,6990,1479,29,40000,60000
36,M,College,Unknown,22,34516,1283,39,80000,120000
59,F,Post-Graduate,Married,40,0,689,23,40000,60000
43,M,Unknown,Married,35,24396,965,17,60000,80000
46,F,Unknown,Married,36,2474,1541,40,0,40000
41,M,Uneducated,Married,32,5214,1258,23,40000,60000
51,F,Graduate,Married,46,5207,1339,20,0,40000
51,F,Unknown,Unknown,25,9512,1007,22,0,40000
43,F,Graduate,Divorced,23,3187,1387,33,0,0
64,F,High School,Married,53,3353,960,18,40000,60000
54,M,Graduate,Married,38,2290,1119,18,60000,80000
48,M,Unknown,Single,43,5279,1642,41,40000,60000
40,M,Uneducated,Divorced,29,23603,1382,31,60000,80000
57,M,Uneducated,Married,45,2601,1232,32,40000,60000
45,M,Graduate,Single,40,6363,1542,16,80000,120000
41,M,High School,Single,36,8029,1094,32,80000,120000
42,F,Uneducated,Married,31,2410,1217,30,0,40000
45,M,Graduate,Single,36,3401,744,18,60000,80000
42,F,Uneducated,Married,23,2260,1614,33,0,40000
47,M,Uneducated,Divorced,30,17682,1747,31,80000,120000
48,F,High School,Married,42,4206,1144,22,40000,60000
43,M,Graduate,Single,37,34516,1575,34,80000,120000
41,M,High School,Unknown,36,23018,1463,24,80000,120000
54,F,Uneducated,Married,44,5556,1706,21,40000,60000
54,F,High School,Married,44,6094,909,14,0,0
61,M,Graduate,Married,52,2939,2434,33,40000,60000
61,M,Uneducated,Married,48,5362,1876,41,80000,120000
48,M,High School,Married,36,27126,1000,25,120000,120000
45,F,Graduate,Single,36,3342,1139,30,0,40000
54,F,Graduate,Married,40,2532,799,21,0,0
54,F,Doctorate,Married,46,1900,1881,45,0,0
44,M,Graduate,Single,37,14546,1273,27,60000,80000
50,F,Doctorate,Single,36,2521,1328,33,0,0
55,M,Doctorate,Married,36,16427,1579,36,60000,80000
48,M,Graduate,Unknown,36,13068,937,28,40000,60000
45,M,College,Single,33,23218,1749,37,60000,80000
60,M,High School,Married,36,3281,1424,29,40000,60000
55,M,High School,Married,47,3096,2011,41,40000,60000
62,F,High School,Married,52,2052,1208,31,40000,60000
38,F,High School,Unknown,30,0,1259,24,0,40000
46,M,High School,Single,39,9432,1319,26,40000,60000
50,M,High School,Single,45,14938,949,27,120000,120000
45,M,Uneducated,Married,36,2221,1338,30,60000,80000
47,M,Post-Graduate,Divorced,37,5731,1554,26,60000,80000
48,M,College,Married,33,34516,1350,32,60000,80000
35,M,Uneducated,Married,22,6985,1694,44,60000,80000
51,M,Graduate,Married,42,24221,1678,40,120000,120000
36,F,High School,Married,24,15439,2069,43,0,0
47,M,Graduate,Single,36,21637,1222,23,80000,120000
52,M,Graduate,Single,37,14543,1536,37,120000,120000
43,F,Uneducated,Married,36,9684,1400,31,0,40000
63,M,High School,Married,36,5007,1050,28,40000,60000
61,M,Graduate,Married,54,1616,1389,33,60000,80000
53,M,Uneducated,Single,40,19116,1184,29,60000,80000
53,F,Graduate,Married,47,2759,2093,42,0,40000
57,M,Graduate,Married,38,8249,678,11,120000,120000
38,F,Graduate,Single,31,14041,1467,29,0,0
53,M,High School,Married,43,5264,1219,27,60000,80000
63,F,Unknown,Married,54,2420,1730,36,0,40000
49,F,High School,Married,43,2826,1025,28,0,40000
45,M,High School,Married,34,12518,1165,33,80000,120000
67,M,Graduate,Married,56,5876,2133,55,40000,60000
48,M,Graduate,Single,37,34516,1122,13,80000,120000
51,F,Uneducated,Divorced,38,9648,1083,22,0,40000
52,M,High School,Single,40,34516,1234,23,80000,120000
55,F,Uneducated,Married,35,3025,1277,23,0,0
34,M,High School,Married,26,3265,1843,35,60000,80000
56,M,Uneducated,Married,36,6041,1747,49,120000,120000
44,F,Post-Graduate,Married,36,2293,1166,22,0,40000
47,M,Post-Graduate,Unknown,36,13399,1326,31,80000,120000
46,F,Unknown,Married,38,4317,1619,36,0,40000
43,F,Graduate,Single,29,3378,1285,16,40000,60000
50,F,Graduate,Single,36,5012,1142,28,0,40000
38,F,Uneducated,Single,30,2569,1190,46,0,40000
53,F,Graduate,Single,45,3471,1052,24,0,40000
43,M,Graduate,Divorced,31,34516,1628,38,120000,120000
53,M,High School,Married,36,3312,1740,32,120000,120000
56,F,Graduate,Married,38,2578,1378,29,0,40000
54,M,Unknown,Married,44,2902,996,26,40000,60000
57,F,High School,Married,39,2742,1389,32,0,40000
62,M,High School,Married,53,2077,1365,38,0,40000
46,F,Graduate,Single,40,6265,1715,43,0,40000
49,M,Uneducated,Married,44,7819,1582,25,60000,80000
52,M,Graduate,Single,42,2731,1220,22,80000,120000
58,M,Uneducated,Married,36,0,715,13,40000,60000
54,M,High School,Married,36,16286,2552,49,80000,120000
49,M,Graduate,Married,39,34516,1106,31,120000,120000
58,F,High School,Married,47,2609,1731,34,0,40000
52,M,High School,Single,45,7567,1435,32,60000,80000
41,M,High School,Married,33,22770,1882,38,60000,80000
62,F,Uneducated,Married,50,3791,2058,34,0,40000
54,M,Graduate,Married,39,2702,1658,32,0,40000
40,F,High School,Divorced,35,2555,1334,32,0,40000
43,M,Graduate,Married,26,2355,1441,29,80000,120000
53,F,Graduate,Single,42,5332,1371,39,40000,60000
55,M,Uneducated,Single,49,1443,1991,38,40000,60000
46,M,Graduate,Single,39,10741,1278,22,60000,80000
41,M,Uneducated,Married,25,7984,1734,39,60000,80000
49,M,Uneducated,Single,32,18584,1330,34,60000,80000
61,F,Graduate,Married,56,5585,1787,31,0,0
46,M,Uneducated,Married,38,34516,1672,32,80000,120000
50,F,Uneducated,Married,43,0,1439,41,0,40000
40,M,Graduate,Single,24,2478,1558,31,80000,120000
51,M,High School,Single,46,34516,1795,47,120000,120000
50,F,Graduate,Married,44,2339,893,22,40000,60000
47,F,Graduate,Married,36,2726,1099,27,0,40000
43,M,Unknown,Married,39,14881,1408,23,120000,120000
36,F,Graduate,Married,36,1628,1893,15,40000,60000
47,F,Graduate,Married,34,3156,1151,31,0,40000
46,F,Graduate,Single,41,4745,1519,31,0,40000
46,M,High School,Married,36,19727,1245,25,120000,120000
52,M,Uneducated,Married,36,22720,1102,27,60000,80000
43,M,Unknown,Married,36,8129,1402,33,40000,60000
40,F,Graduate,Single,27,3751,1060,30,0,40000
54,F,High School,Married,36,1594,1459,35,0,40000
55,F,High School,Single,43,2569,1456,39,0,40000
49,F,Post-Graduate,Single,44,18206,1439,48,0,0
45,M,High School,Married,34,3104,1353,24,40000,60000
49,M,Graduate,Married,41,2406,1173,32,40000,60000
63,M,Uneducated,Married,36,24571,1746,28,80000,120000
40,F,High School,Single,36,15534,1279,28,0,40000
41,F,Graduate,Married,33,12301,1307,29,0,40000
37,M,Graduate,Married,26,2846,1473,37,80000,120000
58,M,Uneducated,Unknown,49,9788,1805,37,120000,120000
55,M,High School,Married,36,7231,1421,23,60000,80000
53,F,High School,Married,48,2324,1272,37,0,40000
57,M,Graduate,Married,40,12208,1409,34,80000,120000
43,M,Post-Graduate,Unknown,30,5639,647,15,80000,120000
58,M,Graduate,Married,46,10021,1275,25,60000,80000
64,M,Unknown,Married,56,2215,1270,27,0,40000
54,F,Graduate,Married,44,2027,1702,37,0,40000
53,M,Graduate,Married,47,6363,1256,26,60000,80000
39,F,College,Single,25,3920,3178,53,0,40000
56,M,High School,Married,36,9226,1626,29,60000,80000
54,F,Unknown,Divorced,49,9376,1562,33,0,40000
59,F,Post-Graduate,Married,46,1944,1960,57,40000,60000
42,M,Uneducated,Single,36,9599,1154,38,40000,60000
42,M,Graduate,Married,28,28202,1629,38,60000,80000
43,M,College,Unknown,39,24850,1226,25,80000,120000
55,M,High School,Married,49,3805,1743,27,120000,120000
52,M,Uneducated,Single,37,2733,1139,39,80000,120000
46,M,Uneducated,Unknown,27,12781,1073,21,40000,60000
57,M,Uneducated,Married,40,3106,683,17,120000,120000
48,M,College,Married,42,7477,1159,32,80000,120000
45,M,Unknown,Married,33,34516,1859,47,120000,120000
48,M,High School,Married,36,29963,1205,28,120000,120000
47,M,Graduate,Single,36,6509,1409,37,40000,60000
42,M,College,Married,34,13450,1000,18,60000,80000
41,M,Graduate,Unknown,36,27000,1209,39,60000,80000
51,M,College,Married,31,34516,1366,25,120000,120000
55,F,Graduate,Single,47,6347,1161,44,0,40000
67,M,Uneducated,Married,49,3106,1512,38,40000,60000
39,M,Graduate,Married,31,2536,1750,35,60000,80000
54,M,Post-Graduate,Single,35,13048,1170,24,60000,80000
55,F,Unknown,Married,37,2453,2218,50,0,40000
47,M,High School,Married,36,16138,1198,33,40000,60000
49,M,Post-Graduate,Married,38,8077,1329,26,60000,80000
42,F,Graduate,Married,23,1929,857,36,0,40000
57,M,Unknown,Single,36,3127,1470,30,80000,120000
44,M,Uneducated,Married,36,8645,1435,25,60000,80000
56,M,Unknown,Single,49,0,1093,22,60000,80000
49,F,Graduate,Married,38,2185,715,20,0,40000
45,M,Graduate,Single,32,24487,1512,42,80000,120000
63,M,High School,Married,36,2567,2399,43,60000,80000
44,M,Graduate,Single,33,4131,906,22,80000,120000
44,F,College,Married,37,10790,1052,16,0,40000
40,M,High School,Married,33,6884,975,11,40000,60000
39,M,Uneducated,Single,36,13961,783,20,60000,80000
42,M,High School,Married,30,29801,990,21,80000,120000
54,M,High School,Married,43,13219,1097,24,120000,120000
58,F,Unknown,Married,46,2536,901,35,0,40000
46,F,Graduate,Divorced,36,9478,1327,41,0,40000
47,F,Unknown,Divorced,34,3502,1814,31,40000,60000
67,F,Unknown,Married,56,10509,1365,34,0,0
50,F,College,Divorced,36,1491,1058,34,0,40000
55,M,High School,Divorced,46,9734,1476,38,60000,80000
46,F,Graduate,Married,22,2305,1230,36,40000,60000
47,F,Uneducated,Married,36,14241,1581,44,40000,60000
36,F,Unknown,Married,25,4789,1534,29,40000,60000
40,M,Doctorate,Divorced,34,23138,1612,39,60000,80000
57,M,Unknown,Single,38,23008,1302,36,80000,120000
48,M,Unknown,Divorced,36,3131,1439,40,80000,120000
58,F,Graduate,Married,53,5798,1724,45,0,40000
48,M,Graduate,Single,36,6880,1784,35,40000,60000
48,M,Graduate,Unknown,41,34516,1156,29,80000,120000
53,F,College,Married,34,2075,2556,49,40000,60000
50,M,Graduate,Married,44,4589,1590,37,80000,120000
52,F,Graduate,Single,40,2317,884,19,0,40000
53,F,Uneducated,Single,45,1981,973,25,0,40000
56,F,Graduate,Single,47,6038,1447,30,40000,60000
44,M,Unknown,Single,32,14910,1150,26,80000,120000
49,M,High School,Married,39,29659,1193,21,80000,120000
54,M,Graduate,Married,42,4320,706,21,60000,80000
39,F,Unknown,Single,36,11213,1257,23,40000,60000
39,F,Uneducated,Divorced,29,26181,1303,35,0,0
41,F,High School,Single,31,5773,1306,39,0,40000
53,M,Uneducated,Married,36,4503,748,20,80000,120000
47,M,Uneducated,Married,36,29770,1774,42,80000,120000
46,F,Post-Graduate,Married,28,5014,1209,25,0,40000
53,F,High School,Married,47,3445,1074,31,0,40000
60,M,Graduate,Married,50,23412,1786,50,80000,120000
59,F,Graduate,Single,46,3044,1456,36,0,40000
38,M,Unknown,Single,29,14596,1300,25,60000,80000
56,M,Uneducated,Single,36,3864,1470,42,0,40000
35,M,Post-Graduate,Unknown,29,17030,715,25,80000,120000
50,M,Graduate,Single,44,23090,1198,24,60000,80000
53,M,Post-Graduate,Unknown,36,29205,1556,43,80000,120000
63,M,Graduate,Married,49,14035,1606,30,60000,80000
43,F,Uneducated,Single,24,2962,929,31,0,40000
46,M,Unknown,Married,30,18578,1606,54,80000,120000
61,M,Uneducated,Single,46,2201,1199,32,60000,80000
37,F,Post-Graduate,Married,25,2061,2400,60,0,40000
42,F,Doctorate,Married,23,24602,1337,44,0,0
41,M,Uneducated,Divorced,29,15911,1270,33,120000,120000
56,M,College,Single,50,16867,654,14,120000,120000
56,M,Graduate,Married,37,2783,1909,54,60000,80000
52,F,Post-Graduate,Single,47,2972,922,25,0,40000
40,F,High School,Single,36,5124,1158,42,40000,60000
63,M,Graduate,Married,53,2880,1323,26,40000,60000
58,M,High School,Single,46,5579,1025,35,40000,60000
58,M,Unknown,Married,44,12010,1700,35,60000,80000
46,M,Uneducated,Divorced,36,34516,1628,51,80000,120000
37,F,Graduate,Married,29,4394,1377,32,40000,60000
46,M,Graduate,Single,35,18325,1517,33,80000,120000
46,F,Post-Graduate,Married,37,3773,1528,25,0,40000
41,M,Graduate,Single,29,21684,1329,24,80000,120000
48,F,High School,Divorced,40,1919,1505,33,40000,60000
49,F,Graduate,Single,33,9995,1172,38,40000,60000
44,M,Graduate,Married,35,11910,1646,39,80000,120000
39,F,College,Married,36,2279,1693,32,0,40000
57,M,College,Single,48,3539,1336,23,40000,60000
48,M,High School,Married,36,30579,1289,19,80000,120000
47,M,High School,Single,42,24480,1416,32,80000,120000
56,F,Uneducated,Divorced,52,17561,1608,33,0,0
54,F,College,Married,40,1638,1885,51,0,40000
54,M,Graduate,Married,36,2947,1744,53,60000,80000
52,M,High School,Married,42,5738,1922,48,80000,120000
43,M,Unknown,Unknown,34,33304,1448,29,120000,120000
59,M,College,Single,48,7251,1300,36,40000,60000
44,M,Unknown,Married,34,2885,1366,31,0,0
56,F,College,Married,36,2641,1439,39,0,40000
45,F,Graduate,Married,35,2801,1241,46,0,0
55,M,High School,Married,45,16794,1917,33,80000,120000
48,F,College,Divorced,41,9336,1391,39,40000,60000
56,F,College,Single,43,2763,1246,31,0,40000
41,M,Uneducated,Married,36,17391,1248,27,60000,80000
65,F,High School,Married,36,3198,1936,44,0,40000
